scoring_date,ACCOUNT_ID,SKU_ID,rank,score,k_recommended,model,generation_ts
2022-09-01,22938,8101,5,1.4275,8,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:20.112737Z
2022-09-01,22938,7476,6,1.3368,8,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:20.112748Z
2022-09-01,22938,23902,7,1.293,8,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:20.112934Z
2022-09-01,22938,7475,8,1.2453,8,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:20.112946Z
2022-09-01,23126,21973,1,2.8365,4,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.746050Z
2022-09-01,23126,19336,2,2.4614,4,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.746060Z
2022-09-01,23126,24118,3,2.4277,4,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.746071Z
2022-09-01,23126,1483,4,1.7703,4,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.746080Z
2022-09-01,23609,19086,1,3.301,8,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.736136Z
2022-09-01,23609,23902,2,2.9067,8,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.736146Z
2022-09-01,23609,21973,3,2.8445,8,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.736156Z
2022-09-01,23609,19337,4,2.7822,8,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.736166Z
2022-09-01,23609,7475,5,2.5785,8,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.736175Z
2022-09-01,23609,19336,6,2.2184,8,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.736185Z
2022-09-01,23609,14191,7,2.001,8,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.736195Z
2022-09-01,23609,19189,8,1.8274,8,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.736205Z
2022-09-01,23898,21973,1,2.9952,6,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:20.043316Z
2022-09-01,23898,19336,2,2.8498,6,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:20.043323Z
2022-09-01,23898,7038,3,2.8102,6,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:20.043329Z
2022-09-01,23898,13953,4,2.0126,6,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:20.043336Z
2022-09-01,23898,19086,5,1.6941,6,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:20.043343Z
2022-09-01,23898,1483,6,1.5828,6,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:20.043349Z
2022-09-01,23902,7038,1,2.0242,7,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.921028Z
2022-09-01,23902,24880,2,1.9061,7,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.921034Z
2022-09-01,23902,19089,3,1.6514,7,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.921041Z
2022-09-01,23902,26567,4,1.6329,7,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.921048Z
2022-09-01,23902,13950,5,1.5109,7,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.921055Z
2022-09-01,23902,19189,6,1.1639,7,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.921061Z
2022-09-01,23902,7476,7,0.9594,7,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.921068Z
2022-09-01,24177,25033,1,1.2838,7,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:20.145966Z
2022-09-01,24177,13953,2,1.1387,7,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:20.145973Z
2022-09-01,24177,14934,3,1.0426,7,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:20.145979Z
2022-09-01,24177,25030,4,0.8686,7,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:20.145986Z
2022-09-01,24177,14191,5,0.7366,7,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:20.145992Z
2022-09-01,24177,24116,6,0.5822,7,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:20.145999Z
2022-09-01,24177,25643,7,0.5494,7,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:20.146005Z
2022-09-01,24329,7038,1,4.4132,7,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:20.060688Z
2022-09-01,24329,7026,2,3.6067,7,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:20.060695Z
2022-09-01,24329,24880,3,3.2742,7,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:20.060702Z
2022-09-01,24329,21973,4,2.9676,7,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:20.060709Z
2022-09-01,24329,19336,5,2.54,7,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:20.060715Z
2022-09-01,24329,24118,6,2.4043,7,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:20.060722Z
2022-09-01,24329,16668,7,2.0221,7,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:20.060729Z
2022-09-01,24387,7651,1,1.7639,3,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.816430Z
2022-09-01,24387,25119,2,0.7048,3,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.816437Z
2022-09-01,24387,2201,3,0.6484,3,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.816447Z
2022-09-01,24410,19088,1,3.0142,5,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.751763Z
2022-09-01,24410,19341,2,2.5892,5,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.751773Z
2022-09-01,24410,14622,3,1.0045,5,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.751782Z
2022-09-01,24410,19399,4,0.9497,5,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.751792Z
2022-09-01,24410,16811,5,0.8237,5,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.751801Z
2022-09-01,24442,7038,1,2.0527,4,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.976951Z
2022-09-01,24442,21972,2,1.2126,4,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.976958Z
2022-09-01,24442,19088,3,1.0429,4,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.976965Z
2022-09-01,24442,24118,4,0.9794,4,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.976971Z
2022-09-01,24792,24880,1,3.3552,6,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.639019Z
2022-09-01,24792,16667,2,3.3168,6,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.639025Z
2022-09-01,24792,19253,3,3.0848,6,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.639032Z
2022-09-01,24792,16668,4,2.8692,6,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.639039Z
2022-09-01,24792,18355,5,2.6295,6,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.639046Z
2022-09-01,24792,18354,6,2.5624,6,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.639052Z
2022-09-01,24855,7038,1,3.3921,9,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.629341Z
2022-09-01,24855,19088,2,3.1489,9,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.629348Z
2022-09-01,24855,7651,3,2.7442,9,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.629355Z
2022-09-01,24855,19341,4,2.5048,9,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.629362Z
2022-09-01,24855,24880,5,2.3722,9,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.629368Z
2022-09-01,24855,26567,6,2.3076,9,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.629375Z
2022-09-01,24855,25119,7,1.7452,9,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.629382Z
