n_components,blend_weight,recall,precision,hit_rate,n_evaluated
20,0.5,0.3952905867032875,0.4532442284325638,0.932685297691373,4115
20,0.35,0.3949117800197925,0.45278250303766704,0.9329283110571082,4115
20,0.2,0.39187686204387495,0.4498420413122722,0.9334143377885784,4115
30,0.5,0.3862821856332832,0.44753341433778854,0.9304981773997569,4115
30,0.35,0.3858100473275134,0.44692588092345076,0.9300121506682868,4115
30,0.2,0.383755044950375,0.44498177399756983,0.9300121506682868,4115
40,0.5,0.3829205943307629,0.4427946537059538,0.92636695018226,4115
40,0.35,0.3824960275041267,0.4424544349939247,0.9266099635479952,4115
40,0.2,0.38098313657476623,0.4408748481166464,0.9258809234507898,4115
