lambda_reg,recall,precision,hit_rate,n_evaluated
50,0.36785933047590913,0.42872417982989064,0.9270959902794653,4115
100,0.36729170494056856,0.42906439854191986,0.9273390036452005,4115
150,0.36622923347357805,0.4281652490886999,0.9273390036452005,4115
300,0.366048064335685,0.4283839611178614,0.9253948967193195,4115
200,0.36564539125925904,0.4278007290400972,0.9275820170109356,4115
